"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
"Rieder, Gaspare und Carnovale GbR Languorino | 80999"
"Ristorante La Fenice, Stefan Mirfanger | 84130"
"Robert Bender, Gaststättenbetriebe | 65549"
"Rote Mühle und Bembel und Gretel, Margarita Krummel | 65719"
"Ruppert GbR, Hotel Felsenland | 66994"
"Schloss Wedendorf, Katharina Haupt | 19217"
"Schloss- und Gartenverwaltung Dennenlohe, Marstall Restaurant | 91743"
"Schmidt, Sergej - Discoclub BUMER | 24534"
"Schröer, Matthias | 46325"
"Schulz, Kerstin | 49545"
"Schulze, Solveig | 81479"
"Schweinske 12, Inhaber Sven Wahner | 22547"
"Schwemin, Hans-Peter | 40213"
"Schäfer, Hubert | 44289"
"Section 8, Page 70846"
"Seecafe Italiano, Rösthof, Wiener Feinbäckerei | 63456"
"Seecafe, Rösthof, Wiener Feinbäckerei | 63456"
"SEPAWA Vereinigung der Seifen-, Parfüm- und Waschmittelfachleute e.V. | 86470"
"Shkelzen Selimaj, Restaurant Bellini | 28203"
"Sinner Stephan, Sauna & Fitness Insel | 87629"
"Sit in & Events, Sporti´s Kultlokal | 06792"
"Sommer, Marc | 48727"
"Spielsalon 77, Automatenaufstellbetrieb, Casino Deluxe | 64760"
"Spielsalon und Spielotheken, Einzelhandel,Kiosk | 35216"
"Sportstudio Highlight, Matthias Hornung e.K. | 96215"
"SSDB & CIGO Store, Yvonne Bastian | 35745"
"Stadelner Modehaus, Inh. Anne Breunig | 90765"
"Staub Peter, Spielhalle | 66646"
"Stefan Lux, Köhne GmbH | 49525"
"Steinheber GbR - Schweinehaltung, Landwirtschaft | 86757"
"Sterkel, Jürgen Hotel | 63322"
"Stratmann, Andreas | 59558"
"Stuttgart, HRA200856"
"SupaSalad, Inh. Ralf Schäfer | 50827"
"Sven Wolf, Voit | 34119"
"Tanase, Paula Rest. Buongiorno | 25826"
"Tanzschule Hölters, Inhaber Christian Porsche | 41061"
"Tanzschule Knöller, Kühner - Lang GdbR | 67059"
"Tanzschule SK-Danceworld e.K., Inh, Stefan Kastner | 91522"
"Terra Kosmetik, Reisebüro | 97720"
"Thomas Kliewe, Hotel Westfaelischer Hof | 59269"
"Thomas Petrich, Landgasthof Hubertus | 87600"
"Thomas Petrich, Landgasthof Hubertus | 87674"
"Thomas Pfizemaier, Slut Club & New Action | 20099"
"Tiffany, Sunil Nagpal | 20354"
"Tinto y Blanco, Inh. D. Pentcheva-Radke | 53757"
"Top Fit Bayreuth, Inh. Markus Kittner | 95448"
"Traitorakis und Mavras GbR, Altrheinklause | 67165"
"Trattoria Manu, Spätkauf, Juwelier | 53474"
"Trattoria Remo, Inh. Fahri Sadiku | 20359"
"U.S. Nails, Inh. Thorsten Khanh Nam Nguyen | 40213"
"Ulrich, Hermann | 92256"
"Unternehmensgruppe Schlosser, Hedmar | 35792"
"Vis á Vis Bistro Bar Tanzlokal, Inh. Florian Könne | 34508"
"VITADROM Sport-, Freizeit und Gesundheitspark GmbH | 94315"
"Vobetel, Inhaber Bertram Voß | 66809"
"VR 1606, Amtsgericht Lemgo"
"VR 21002 B, AG Berlin Charlottenburg"
"Wajos, Inh. Hermann Tebarts | 50858"
"Walch, Stefan | 67345"
"Weiden i. d. Opf., 1085"
"Weilinghoff, Landwirtschaft, Bullenmast GbR, Bullenmast SBV, Schweinemast GbR, Windkraftanlage | 48619"
"Weinbar Lump, Stein & Küchenmeister | 80331"
"Weingut Ems-Post GbR, Inh. Ralph und Markus Post | 65343"
"Weingut und Gutsausschank Odernheimer, Abteihof St. Nicolaus | 65366"
"Weinhaus Sinz, Inh. Klaus Sinz | 65201"
"Wernings Hof, Wernings Weinstube, Seidensticker Halle | 33609"
"Wiegard, Carsten | 87459"
"Zenthai Billstedt, Quoc Su Le | 22111"
"Zischg und Rentner OHG, Alster-Catering | 20149"
"Zovko, Milika | 61479"
"Zum Grauen Bock, Inhaber Götz Elsässer | 60594"
"Zum Schwarzen Löwen, Bistro Barbarossa | 67433"
"Zur Scheune, Alabama | 35457"
- Achilleus Spa - Sven Ruks & Günther Santner GbR | 90402
-Gastro World Service- | 59457
-Hotel Bejuna- | 40210
0
000228059190
000254144
000257642
000257991
000258069
000258257
000258258
000258260
000258304
000258353
000258400
000258419
000258423
000258437
000258484
000378588
000401851
000403840
000420505
000421222
000428524
000450056
000450528
000452771
000458109
000458711
000459925
000460498
000460529
000460540
000460817
000461002
000461025
000461042
000461145
000461348
000461356
000461385
000461388
000461389
000461587
000461759
000461805
000461816
000461823
000461932
000509521
000514364
000525220
000525642
000578120
000579615
000581857
000581882
000581903
000581946
000581994
000714428
000726745
000731323
000758482
000773509
000773571
000773918
000773965
000773983
000774091
000774117
000774150
000774163
000774253
000774494
000774617
000807503
000819003
000825026
000890225
000890301
000890391
000890453
000890499
000890507
000890630
000909267
000919613
000920843
000956250
000956646
000956742
000956893
001 312 600 93
001002054
001014182
001031327
001060160
001060212
001060649
001060677
001060789
001528850
001554294
001559567
001559730
001559785
001559803
001560022
001560108
001560111
001560112
001560113
001560118
001560119
001560128
001560135
001560146
001609221
001621069
001653948
001655444
001655542
001655624
001655626
001655746
001655827
001655913
001656062
001656071
001656115
001705250
001705540
0018
001822428
001885496
001885634
001886088
001886624
001904713
00230000703
0023000433
0023000706
0023000710
0023000722
0023001280
0023001390
0023001816
0023001830
0023001833
0023001901
0023001909
0023001914
0023002043
0023002205
0023002695
0023002850
002313757
002336634
002357456
002358248
003251000228
003803947
007 226 000 26
00722600026
00722600953
008 390 00223
01 051 024 6013
01 051 024 6014
01 051 039 6014
01 051 078 1477
01 051 081 1559
01 051 081 1567
01 053 117 1395
01 054 108 6009
01 055 043 0043
01 055 043 0047
01 055 043 9363
01 057 007 1698
01 057 013 6649
01 057 042 6639
01 058 049 5999
01 058 128 2290
01 059 078 0067
01 059 127 5345
01 061 030 3388
01 061 043 3400
01 062 009 0273
01 062 009 0275
01-003-000-000
01/009/31235
01/018/32395
01/021/30739
01/127/00397
01/210/0120/9
01/210/06017
01/660/15011
01/665/0372/4
010/100/00056
010084641
0101031296
010119DE115660330
010120456
010244245
010246716
010246889
01026731
010280451
01043 / 34143
010510240432
010510391614
010511072098
010511371527
010511412217
010560222236
010580722465
010580862653
01058117
010581180211
010581192174
010581192176
010581192641
010581562109
01059075
010590884272
010590970222
01059127
010591274580
010610230393
010610303388
010620530658
01067
010680413
01069
01097
01099
0110130974
01108
01109
01128/00079
01139
0114
01151/01039
01156
01157
01159
0116221519
01187
01189
01217
01219
0122305656
01237
01257
01259
01277
013 878 06633
01309
01324
01326
01377658
014 331 60729
014 332 00822
014 334 30158
014/250/07392
01445
01454
01471
015/136/07054
0150100306
01558
01561
01591
01594
01609
01616
01619
01640
01662
0166304217
01665
0166500807
01683
01689
01705
01723
01728
01744
01774
01796
01809
01824
01825
01833
01844
01847
01855
0186985535
01877
01896
01900
019020000284
01904
01909
01936
0195 1075 0096
019510060051
019510120055
019510120075
019510190094
019510220032
019510270010
019510270062
019510270071
019510280021
019510340102
019510340142
019510340240
019510380031
019510470053
019510570057
019510620113
019510620116
019510650027
019510650056
019510750107
019510790028
019510810066
019510850045
019510960065
019510960074
019511030035
019511050014
019511140004
019511190041
019511260020
019511270003
019511320031
019511370001
019511380019
019511390086
019530010014
019530020030
019530080005
019530090042
019530100016
019530140008
019530250035
019530480010
019530620024
019530850042
019530860005
019530960011
019530970035
019531040010
019531130008
019531280037
019540050028
019540050032
019540090003
019540090059
019540100056
019540140007
019540170051
019540220030
019540220033
019540220036
019540220045
019540220047
019540220077
019540220112
019540220126
019540220130
019540220131
019540220134
019540220136
019540220139
019540220140
019540230005
019540230063
019540340008
019540340020
019540340036
019540340038
019540340064
019540340067
019540340070
019540340078
019540340082
019540340087
019540350042
019540360062
019540390008
019540420119
019540450051
01954048001
019540500004
019540500005
019540500007
019540500009
019540500027
019540500029
019540500030
019540500032
019540520028
019540520033
019540520066
019540520068
019540550069
019540550085
019540700027
019540700071
019540730008
019540730120
019540740016
019540740029
019540740031
019540740044
019540740048
019540740052
019540740053
019540740054
019540740055
019540740056
019540740058
019540740062
019540740063
019540740064
019540740065
019540740066
019540750241
019540800011
019540830044
019540860027
019540860128
019540860133
019540860135
019540880196
019540880223
019540900013
019540910050
019540910090
019540910190
019540910202
019540910217
019540910231
019540930067
019540930070
019540930073
019540950114
019540970054
019540970055
019540980014
019540990095
019541000048
019541010009
019541030011
019541030015
019541030029
019541030032
019541030039
019541030052
019541030058
019541030060
019541030113
019541030141
019541030161
019541030169
019541030180
019541030183
019541030184
019541030186
019541030190
019541030192
019541030195
019541030198
019541030200
019541030205
019541040007
019541040034
019541050062
019541080002
019541080020
019541080035
019541080067
019541080089
019541080110
019541080118
019541080120
019541080121
019541080133
019541080135
019541090147
019541090152
019541090222
019541100038
019541100053
019541130063
019541160053
019541260078
019541260096
019541280022
019541280056
019541290020
019541320027
019541340121
019541350102
019541350110
019541380003
019541380028
019541380111
019541380129
019541400031
019541430029
019541440091
019541440116
019541440134
019541450019
019541450020
019541450028
019541450029
019541480004
019541480005
019541520015
019541520054
019541580007
019541630019
019541640001
019541640013
019541640039
019541650014
019541650021
019541650023
019541650076
019541650129
019541650144
019541650154
019541660135
019541660141
019541660143
019541660149
019550010238
019550020068
019550060033
019550080069
019550150021
019550150043
019550160067
019550180040
019550200010
019550200034
019550270012
019550310015
019550310042
019550330040
019550370028
019550370037
019550400178
019550410011
019550420026
019550430138
019550440073
019550460174 (Marquardt u.A.)
019550460189
019560190009
019560190071
019560200027
019560320024
019560370007
019560370049
019560370050
019560420049
019560450050
019570040013
019570070035
019570260005
019570300008
019570340025
019570450028
019570550057
019570690021
019570730037
019570730046
019570840022
019580020007
019580050035
019580090090
019580120029
019580130012
019580260068
019580270043
019580300052
019580310002
019580350033
019580510054
019580560001
019580580026
019580650051
019580680025
019580700038
019580740011
019580960083
019580960118
019580970044
019581010045
019581120016
019581160018
019581270135
019581370081
019581370084
019581380026
019581500085
019581620033
019581640052
019581660036
019590090056
019590160011
019590230091
019590530117
019590720021
019590770080
019590880001
019590920082
019590920103
019591010016
019591120074
019591230061
019591310034
019591320081
019591530033
019591650001
019591770097
019591790182
019600210039
019600230024
019600350011
019600350024
019600360054
019600390132
019600500011
019600630150
019600640061
019600690009
019600840016
019600880014
019600930017
019600990079
019610030005
019610150043
019610360041
019610360045
019610540037
019610540038
019610740004
019610740023
019610810023
019610850029
019610860030
019610860041
019610920019
019610940001
019610960001
019611000014
019611020010
019611040048
019611100020
019611100033
019611100076
019611100077
019611100080
019611180050
019611180089
019611180104
019620010096
019620780018
01968
01979
01983
01990
01MN23002E
02 2730 00219
020/227/00826
020000006181
0201153-9
020122921
020164268
02022640249
02022660040
02022680489
020322419
0257968471
026 226 30592
02625
02627
02633
02681
02692
02708
02727
02730
02733
02736
02739
02748
0276055580080512
0276091861220363
0276093620000274
0276093721680040
0276093761160006
0276093761250161
0276093761440284
0276093761610260
0276093761610406
0276093761630089
0276093771120357
0276093771290275
0276093771410007
0276093771460306
0276093771540214
0276093771590114
0276093771590127
0276093771590129
0276095620000210
0276095620000567
0276095711320326
0276095711360516
0276095711360519
0276095711360679
0276095711930364
0276095721260078
0276095721260084
0276095721430013
0276096751740650
0276096751741148
0276097741270090
02763
02782
02785
02826
02827
02828
02829
02894
02899
029000000399
029000000426
029000001015
029000001484
029000001521
029000001649
029000001661
029000001814
029000001890
029000001940
029000001941
02906
0292176095
02923
02943
02953
02977
02979
02991
02997
03 155 008 0070
03 3 61 012
03 35 40 18 02 76
03 352 061 0015
03 355 027 0084
03 357 041 0614
03 357 051 0408
03 359 004 0052
03 359 028 0051
03 453 005 0607
03 454 041 0161
03 454 057 8312
03 456 017 0166
03 456 017 2203
03-151-018-0097
03-251-006-0616
03-251-023-0029
03-251-047-0292
03-251-047-0293
03-256-013-0183
03-352-014-1114
03-352-023-0005
03-352-030-2385
03-352-032-2865
03-352-037-3329
03-352-037-9957
03-352-040-0008
03-352-049-4154
03-352-049-4177
03-352-050-0224
03-352-050-6643
03-352-053-4673
03-352-053-4677
03-352-054-0031
03-352-062-0178
03-352-062-0660
03-353-007-0291
03-353-018-0646
03-353-041-9501
03-357-008-0187
03-357-051-4591
03-451-004-0933
03-451-005-1091
03-451-007-0489
03-451-007-0763
03-451-007-0765
03-451-007-1626
03-451-007-2535
03-451-008-1862
03-452-004-0013
03-452-006-0244
03-452-006-1467
03-452-006-1577
03-452-012-0150
03-452-024-0072
03-453-001-6529
03-453-002-0303
03-453-002-0385
03-453-002-0544
03-453-002-0692
03-453-002-0699
03-453-002-0700
03-453-002-0770
03-453-002-0832
03-453-002-7213
03-453-004-0428
03-453-005-0174
03-453-005-1112
03-453-005-1220
03-453-005-1224
03-453-005-1364
03-453-007-1991
03-453-007-2008
03-453-007-2222
03-453-007-5512
03-453-007-5534
03-453-007-6477
03-453-007-9176
03-453-008-0017
03-453-008-0118
03-453-008-0123
03-453-008-0218
03-453-008-0266
03-453-008-0400
03-453-008-0474
03-453-008-0630
03-453-008-0721
03-453-008-2673
03-453-008-2726
03-453-008-2756
03-453-008-2764
03-453-008-2822
03-453-008-2909
03-453-008-2959
03-453-008-3099
03-453-008-3119
03-453-008-3125
03-453-008-5645
03-453-008-5732
03-453-008-6166
03-453-008-6170
03-453-008-6173
03-453-008-6315
03-453-008-6524
03-453-008-6568
03-453-008-6707
03-453-008-6914
03-453-008-6915
03-453-008-6916
03-453-008-7011
03-453-008-7252
03-453-008-7437
03-453-008-7603
03-453-008-7611
03-453-008-9942
03-453-008-9993
03-453-009-0535
03-453-009-0537
03-453-009-0539
03-453-009-3202
03-453-009-3482
03-453-009-6470
03-453-009-7345
03-454-002-0141
03-454-005-0037
03-454-010-0917
03-454-012-0250
03-454-012-1343
03-454-012-9473
03-454-014-1652
03-454-015-1926
03-454-018-0941
03-454-018-0943
03-454-018-0945
03-454-018-0948
03-454-019-2827
03-454-019-2853
03-454-026-0181
03-454-028-0092
03-454-028-0108
03-454-028-3888
03-454-028-3899
03-454-028-3935
03-454-033-0015
03-454-033-0233
03-454-033-0235
03-454-033-0241
03-454-033-0242
03-454-033-4769
03-454-033-4792
03-454-033-4815
03-454-033-4838
03-454-033-4862
03-454-046-6849
03-454-048-0057
03-454-048-0072
03-454-048-0146
03-454-048-9922
03-454-049-7150
03-454-051-7528
03-454-054-0304
03-454-054-0332
03-454-054-0334
03-454-054-0336
03-454-058-8844
03-455-020-0618
03-455-020-1560
03-456-012-3871
03-456-014-1558
03-456-015-1971
03-456-025-0356
03-457-004-3798
03-457-006-0268
03-457-013-1096
03-457-014-1372
03-457-021-3036
03-457-021-3062
03-458-005-0107
03-458-005-0567
03-458-005-0577
03-458-005-0915
03-458-005-3657
03-458-007-0081
03-458-007-1172
03-458-007-3049
03-458-012-0139
03-458-012-0141
03-458-012-3780
03-458-013-2357
03-458-013-3392
03-458-013-3404
03-458-015-0024
03-458-015-0043
03-459-007-7349
03-459-013-2648
03-459-014-0081
03-459-014-0205
03-459-025-0147
03-459-029-6444
03-460-001-0040
03-460-001-0243
03-460-001-0322
03-460-001-0680
03-460-001-3576
03-460-001-5638
03-460-002-0749
03-460-003-1190
03-460-003-1192
03-460-003-4935
03-460-003-5023
03-460-004-0545
03-460-004-3884
03-460-006-0164
03-460-009-0057
03-460-009-0193
03-460-009-0762
03-460-009-0781
03-460-009-0799
03-460-009-5508
03-460-009-5562
03-461-001-0121
03-461-001-2785
03-461-004-0851
03-461-006-0169
03-461-008-0217
03-461-009-0455
03-462-015-1438
03-462-019-2393
030 boba Bubble Tea-Shops | 10245
030110000095
030110000175
030125336042
03042
03044
03046
03048
03051
03052
031010000195
031010001132
031010001205
031020001078
031020001102
031020001151
03130
0313471-7
03149
031510100068
031510100079
031510100100
031510130054
031510160795
031510170259
031510180082
031510210073
031510281642
031510310010
031510310075
031510340037
031510400342
031510400471
031510400866
031510402153
031510402198
031510403825
031520010236
031520070775
031520070828
031520071298
031520100021
031520101041
031520110195
031520202408
0315300200
031530020072
031530050015
031530060053
031530090359
031540060036
031540080059
031540090008
031540130562
031550010066
031550040125
031550130033
031550130069
031570010177
031570021282
031570040151
031570050004
031570060707
031570080241
031570080325
031580010058
031580020164
031580040158
031580080031
031580110050
031580250498
031580260067
031580290014
031580370063
031580370753
03159
03172
03185
032010000186
03222
03226
03238
03249
032510020490
032510050546
032510070131
032510070392
032510120108
032510129961
032510140018
032510140087
032510140091
032510148057
032510150088
032510152162
032510159783
032510190017
032510210198
032510270013
032510350013
032510358486
032510370137
032510370557
032510380031
032510400359
032510403286
032510414879
032510420304
032510430002
032510440038
032510440075
032510456144
032510460072
032510490010
032510490085
032510490099
03251050013
032520010064
032520010450
032520010483
032520020591
032520040097
032520040185
032520040244
032520050107
032520060356
032520060410
032520060516
032520060909
032520070196
032520080200
032520080209
032530010233
032530020188
032530040642
032530100833
032530103816
032530124075
032530140084
032530170864
032540020114
032540020298
032540050183
032540050448
032540070362
032540080488
032540110015
032540120010
032540140047
032540170072
032540200203
032540210030
032540240012
032540290065
032540320168
032540320260
032540450101
032560030164
032560201578
032560292661
032560300186
032560320125
032560323365
032560350077
032570060025
032570090043
032570270037
032570330036
032570360024
032760460036
03351 0050453
03351000
033510010154
033510040338
033510040515
033510040733
033510040799
033510060913
033510070015
033510120063
033510130003
033510171260
033510190003
033510250035
033510260018
033520020080
033520110286
033520110776
033520302493
033520302588
033520312662
033520320511
033520320518
033520360064
033520370009
033520383336
033520403533
033520443872
033520510123
033520550118
033520590131
033520590197
033520610003
033520620022
033520620224
033520620242
033530050123
033530080113
033530190742
033530230082
033530240913
033530260977
033530301376
033530312744
033530330037
033530350205
033530393303
033530420044
033540020132
033540020139
033540020340
033540040288
033540060435
033540132378
033540200059
033540221487
033540231562
033540231581
033540270011
03355000
033550020005
033550040035
033550121865
033550160621
033550180683
033550270988
033550271680
033550350081
033550361261
033550420016
0335600300
033560070673
033560110485
033570080533
033570080546
033570086565
033570101039
033570111108
033570120077
033570161582
033570202108
033570210098
033570212135
033570212142
033570280048
033570310034
033570310058
033570363127
033570363152
033570403494
033570410159
033570410160
033570410469
033570413791
033570440049
033570444156
033570470089
033570474304
033570480048
033570484354
033570510249
033570560019
033570575148
033570575166
033580059915
033580060319
033580080018
033580182886
033580190552
033580191202
033580210241
033580210279
033580210424
033580220513
033580220708
033580221791
033580230174
033590020347
033590030306
033590059968
033590141192
033590180076
033590220136
033590241772
033590260059
033590260124
033590280334
033590280480
033590280502
033590280513
033590310079
033590340014
033590352325
033590370069
033590372495
0335903800
033590390060
033590400078
033600020146
033600020175
033600020201
0336000400
033600062155
033600080052
033600100060
033600100087
033600100107
033600130072
033600140066
033600140095
033600140136
0336001800
033600180130
033600190108
033600200091
033600200098
033600210021
033600211881
033600250562
033600251347
033600251361
033600262085
033600270080
033600270094
033600271439
0336002800
033600290036
033600291552
033610050440
033610080201
033610122418
034 5601 722 46
034020000056
0340500000
034160104521
034370202752
034510051159
034510051246
034510071089
034510073114
034510082784
034520011907
034520016453
034520120215
034520140268
034520140396
034520190532
034520270019
034530020418
034530030260
